District,Women_Literacy_Pct,Health_Insurance_NFHS5_Pct,Health_Insurance_NFHS4_Pct,Growth_Points
Saraikela-Kharsawan,,63.1,10.5,52.6
Jamtara,53.5,62.9,11.8,51.1
Simdega,66.4,60.6,10.6,50.0
Lohardaga,65.2,58.9,15.6,43.3
Khunti,55.3,58.2,5.0,53.2
Kodarma,63.6,56.8,3.6,53.2
Palamu,62.5,55.8,26.6,29.2
Garhwa,59.6,55.3,9.9,45.4
Hazaribagh,67.2,55.0,18.8,36.2
Deoghar,50.7,53.8,8.2,45.6
Pakur,41.4,52.5,16.6,35.9
Giridih,53.4,52.4,18.3,34.1
Latehar,54.9,52.2,29.4,22.8
Gumla,63.7,51.7,26.3,25.4
Purbi Singhbhum,73.8,50.7,19.8,30.9
Ramgarh,71.0,49.7,21.7,28.0
Pashchimi Singhbhum,47.8,46.7,4.7,42.0
Chatra,57.7,46.5,12.8,33.7
Godda,46.6,45.9,6.3,39.6
Dhanbad,69.7,45.7,10.8,34.9
Dumka,51.8,45.4,4.2,41.2
Bokaro,69.2,44.7,15.6,29.1
Ranchi,76.0,43.9,6.5,37.4
Sahibganj,64.0,34.8,6.7,28.1
